Name,Bus,Fuel,Max_Cap,Min_Cap,Heat_Rate
ID_7953_2,741041,NG (Natural Gas),45.9,20.27,8.037
ID_7953_3,741041,NG (Natural Gas),45.9,20.27,8.037
ID_55733_1,741041,NG (Natural Gas),172.8,76.33,8.037
ID_7953_1,741041,NG (Natural Gas),179.1,79.11,8.037
ID_59496_ST601,700001,NG (Natural Gas),5.6,2.47,8.037
ID_50637_GEN1,134461,NG (Natural Gas),10.0,4.42,8.037
ID_50637_GEN2,134461,NG (Natural Gas),10.0,4.42,8.037
ID_817_1,741321,OIL,2.5,0.88,9.96
ID_817_2,741321,OIL,2.5,0.88,9.96
ID_58523_STL2,771731,BIO,3.8,1.3,13.5
ID_6076_3,772611,BIT (Bituminous Coal),778.0,351.34,9.75
ID_6076_4,772611,BIT (Bituminous Coal),778.0,351.34,9.75
ID_10784_GEN1,772611,BIT (Bituminous Coal),46.1,20.82,9.75
ID_55749_UNT1,772611,BIT (Bituminous Coal),115.7,52.25,9.75
